Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
34,M-NEC,MNEC0034,2010,MNEC01,WS0010,21.16 ,26.58 ,16.28 ,2264.4,1194.4,525.6,824.4,1843.14,Brown earths,silty clay loam,39,24.5,130,6,152,83,41,8745
35,M-NEC,MNEC0035,2010,MNEC01,WS0010,20.57 ,26.06 ,15.59 ,2426.8,1261.9,526.6,918.8,2036.08,Brown earths,silty clay loam,39,27.3,187,6,152,83,41,11604
36,M-NEC,MNEC0036,2010,MNEC01,WS0010,21.14 ,26.63 ,16.14 ,2473.1,1303.1,526.4,928.9,2069.16,Brown earths,silty clay loam,56,37,177,5.8,152,83,41,9315
37,M-NEC,MNEC0037,2010,MNEC01,WS0010,20.34 ,25.83 ,15.38 ,2482,1283.1,528.2,945.2,2096.52,Meadow soils,clay,35,35.2,244,5.9,152,83,41,9795
38,M-NEC,MNEC0038,2010,MNEC01,WS0010,19.50 ,24.95 ,14.61 ,2359.8,1184.2,545.6,907.3,1984.36,Brown earths,silty clay loam,40,21.5,128,5.4,152,83,41,8354
39,M-NEC,MNEC0039,2010,MNEC01,WS0010,20.57 ,26.02 ,15.65 ,2324.2,1209.3,525.8,871.2,1929.66,Albic soils,silty clay loam,33,15.7,122,5.7,152,83,41,10200
40,M-NEC,MNEC0040,2010,MNEC01,WS0010,20.23 ,25.72 ,15.29 ,2468.5,1272.4,543.5,936.5,2079.78,Brown earths,silty clay loam,36,22.7,143,5.4,152,83,41,10545
41,M-NEC,MNEC0041,2010,MNEC01,WS0010,19.48 ,25.02 ,14.49 ,2513.1,1257.5,546.4,987.1,2137.36,Albic soils,silty clay loam,33,15.4,145,6.3,152,83,41,9045
42,M-NEC,MNEC0042,2010,MNEC01,WS0011,20.51 ,26.48 ,14.98 ,2379.2,1235.1,393.5,1020.8,2163.25,Dark brown earths,clay,23.9,49.3,143,5.3,94,43,11,5760
43,M-NEC,MNEC0043,2010,MNEC01,WS0011,20.51 ,26.48 ,14.98 ,2379.2,1235.1,393.5,1020.8,2163.25,Dark brown earths,silty clay loam,40.6,16.3,319,5,94,43,11,10641
44,M-NEC,MNEC0044,2010,MNEC01,WS0011,20.51 ,26.48 ,14.98 ,2379.2,1235.1,393.5,1020.8,2163.25,Dark brown earths,clay,23.3,10,140,6.4,94,43,11,7598
45,M-NEC,MNEC0045,2010,MNEC01,WS0011,20.51 ,26.48 ,14.98 ,2379.2,1235.1,393.5,1020.8,2163.25,Dark brown earths,loamy sand,30.1,26,134,5.7,94,43,11,7115
46,M-NEC,MNEC0046,2010,MNEC01,WS0011,20.51 ,26.48 ,14.98 ,2379.2,1235.1,393.5,1020.8,2163.25,Dark brown earths,loam,68.8,31.2,194,5.3,94,43,11,12341
47,M-NEC,MNEC0047,2011,MNEC01,WS0011,17.95 ,23.79 ,12.72 ,2674.9,1218.8,592.9,1210.4,2641.05,Albic soils,clay loam,33.4,23.7,125,5.3,105,69,15,9138
48,M-NEC,MNEC0048,2011,MNEC01,WS0011,17.95 ,23.79 ,12.72 ,2674.9,1218.8,592.9,1210.4,2641.05,Albic soils,silty clay loam,26.4,26.3,118,5.2,105,69,15,9704
49,M-NEC,MNEC0049,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,silty clay loam,37.3,33.1,97,5.5,105,69,15,7829
50,M-NEC,MNEC0050,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,silty clay loam,39.5,24.3,217,5.8,105,69,15,7382
51,M-NEC,MNEC0051,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,clay,19.8,24.5,88,5.9,105,69,15,7865
52,M-NEC,MNEC0052,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,sandy loam,30,36.1,261,5.4,105,69,15,8487
53,M-NEC,MNEC0053,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,sandy loam,39.6,45.3,133,5.3,105,69,15,10710
54,M-NEC,MNEC0054,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,sandy loam,19.6,43.2,141,5.7,105,69,15,8636
55,M-NEC,MNEC0055,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,silty clay loam,38.1,27.1,113,5.4,105,69,15,6908
56,M-NEC,MNEC0056,2012,MNEC01,WS0011,16.71 ,22.18 ,11.63 ,2891.9,1294.5,562.8,1267.8,2749.45,Brown earths,silty clay loam,38.8,13.6,84,6.4,105,69,15,8075
57,M-NEC,MNEC0057,2010,MNEC01,WS0011,18.64 ,24.50 ,13.21 ,2852.3,1383.6,524.5,1284.4,2751.43,Brown earths,clay,46.9,10.8,267,5.6,161,92,50,8861
58,M-NEC,MNEC0058,2010,MNEC01,WS0011,19.43 ,25.31 ,13.96 ,2778.3,1383.2,443.3,1237.2,2649.12,Brown earths,silty clay loam,47.6,45.4,204,6.3,161,92,50,8952
59,M-NEC,MNEC0059,2010,MNEC01,WS0011,19.51 ,25.41 ,14.04 ,2770.3,1383.2,443.3,1235.4,2639.76,Brown earths,silty clay loam,42.7,36.7,222,6.6,161,92,50,8868
60,M-NEC,MNEC0060,2010,MNEC01,WS0011,18.70 ,24.58 ,13.27 ,2842.5,1383.6,524.4,1280.9,2739.83,Brown earths,silty clay loam,41.9,57.6,352,6.5,161,92,50,8856
61,M-NEC,MNEC0061,2010,MNEC01,WS0011,19.51 ,25.41 ,14.04 ,2770.3,1383.2,443.3,1235.4,2639.76,Brown earths,clay,31,57.6,97,6.1,161,92,50,7715
62,M-NEC,MNEC0062,2010,MNEC01,WS0011,19.68 ,25.59 ,14.18 ,2754.9,1383.2,438.3,1230,2625.51,Brown earths,clay,23.7,40.4,349,6.4,161,92,50,7560
63,M-NEC,MNEC0063,2010,MNEC01,WS0011,19.27 ,25.26 ,13.70 ,2794.3,1383.6,439.9,1268.1,2683.25,Brown earths,silty clay loam,25.3,24.2,107,5.9,161,92,50,10071
64,M-NEC,MNEC0064,2011,MNEC01,WS0011,17.52 ,23.61 ,11.98 ,2732.5,1216.8,583.9,1292.3,2723.13,Brown earths,silty clay loam,23.2,28.4,145,5.6,161,92,50,6300
65,M-NEC,MNEC0065,2011,MNEC01,WS0011,17.29 ,23.31 ,11.85 ,2766.7,1220.6,593,1295.9,2769.5,Brown earths,silty clay loam,56.4,21.5,132,5.3,161,92,50,7770
66,M-NEC,MNEC0066,2011,MNEC01,WS0011,16.94 ,23.13 ,11.34 ,2761.8,1217.7,567.2,1316.7,2733.21,Brown earths,silty clay loam,20.2,39.9,96,5.7,161,92,50,7170
67,M-NEC,MNEC0067,2011,MNEC01,WS0011,16.85 ,23.05 ,11.28 ,2680.1,1193.8,560.9,1277.6,2630.76,Brown earths,loam,37.1,46.2,135,6,161,92,50,7275
68,M-NEC,MNEC0068,2011,MNEC01,WS0011,17.45 ,23.56 ,12.04 ,2514,1135.3,554.4,1154.3,2398.43,Brown earths,silty clay loam,37.5,23.8,161,6.2,161,92,50,8460
69,M-NEC,MNEC0069,2011,MNEC01,WS0011,16.68 ,22.82 ,11.11 ,2853,1225.1,594.3,1366.2,2880.49,Brown earths,silty clay loam,25.5,44.3,361,6.3,161,92,50,8340
70,M-NEC,MNEC0070,2011,MNEC01,WS0011,16.81 ,22.93 ,11.25 ,2808.4,1219.2,591.6,1332.6,2798.7,Brown earths,silty clay loam,56.4,21.5,131,5.3,161,92,50,10035
71,M-NEC,MNEC0071,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,31.9,13.9,73,4.7,161,92,50,7845
72,M-NEC,MNEC0072,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,17.2,40,114,5.6,161,92,50,8325
73,M-NEC,MNEC0073,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,40.6,16.8,75,5.9,161,92,50,8115
74,M-NEC,MNEC0074,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,19.6,16.1,111,5.1,161,92,50,7425
75,M-NEC,MNEC0075,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,41.8,17.6,79,6.1,161,92,50,8445
76,M-NEC,MNEC0076,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,31.1,18.1,168,5.5,161,92,50,7245
77,M-NEC,MNEC0077,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,22.6,13.8,111,6.2,161,92,50,7170
78,M-NEC,MNEC0078,2012,MNEC01,WS0011,19.40 ,24.93 ,14.20 ,2618.4,1268.4,495.1,1101.5,2434.89,Brown earths,silty clay loam,51.2,53,102,5.3,161,92,50,8250
79,M-NEC,MNEC0079,2008,MNEC01,WS0011,19.59 ,25.30 ,14.25 ,2468.3,1213.3,336.7,985.6,2191.76,Dark brown earths,sandy loam,22,31,166,6.8,150,92,30,13200
80,M-NEC,MNEC0080,2008,MNEC01,WS0011,19.59 ,25.30 ,14.25 ,2468.3,1213.3,336.7,985.6,2191.76,Meadow soils,sandy loam,22,31,166,6.8,150,92,30,8865
81,M-NEC,MNEC0081,2006,MNEC01,WS0011,19.60 ,24.95 ,14.26 ,2331.9,1142.1,397.1,1039.9,2261.85,Dark brown earths,sandy loam,22,31,166,6.8,150,92,30,8130
82,M-NEC,MNEC0082,2006,MNEC01,WS0011,19.60 ,24.95 ,14.26 ,2331.9,1142.1,397.1,1039.9,2261.85,Dark brown earths,loam,22,31,166,6.8,150,92,30,8580
83,M-NEC,MNEC0083,2006,MNEC01,WS0011,19.60 ,24.95 ,14.26 ,2331.9,1142.1,397.1,1039.9,2261.85,Dark brown earths,sandy loam,22,31,166,6.8,150,92,30,7005
84,M-NEC,MNEC0084,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Black soils,silty clay loam,62,30.1,134,5.8,137,69,30,9617
85,M-NEC,MNEC0085,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Albic soils,silty clay loam,42,20.6,103,5.9,137,69,30,9750
86,M-NEC,MNEC0086,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Albic soils,silty clay loam,36.7,20.3,126,6,137,69,30,9737
87,M-NEC,MNEC0087,2008,MNEC01,WS0019,20.56 ,25.80 ,15.17 ,2405.1,1235.1,223,876.8,2031.5,Albic soils,silty clay loam,38.8,20.4,154,5.8,137,69,30,11906
88,M-NEC,MNEC0088,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Black soils,silty clay loam,39.5,18.6,145,5.8,137,69,30,11370
89,M-NEC,MNEC0089,2008,MNEC01,WS0019,20.54 ,25.82 ,15.11 ,2443.7,1253.7,223,897.8,2065.93,Albic soils,silty clay loam,34.3,21.1,136,5.9,137,69,30,13830
90,M-NEC,MNEC0090,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Albic soils,silty clay loam,36.8,23.8,187,5.9,137,69,30,10050
91,M-NEC,MNEC0091,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Albic soils,silty clay loam,47.2,24.2,183,5.8,137,69,30,10839
92,M-NEC,MNEC0092,2008,MNEC01,WS0019,20.54 ,25.82 ,15.11 ,2443.7,1253.7,223,897.8,2065.93,Albic soils,silty clay loam,31.2,22.7,127,6,137,69,30,9735
93,M-NEC,MNEC0093,2008,MNEC01,WS0019,20.24 ,25.51 ,14.85 ,2509.6,1269.6,223.5,938.4,2135.77,Albic soils,silty clay loam,31.3,19,145,6,137,69,30,12396
94,M-NEC,MNEC0094,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Albic soils,silty clay loam,35.1,19.1,158,6.1,137,69,30,10838
95,M-NEC,MNEC0095,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Meadow soils,silty clay loam,44.9,21.4,162,6.3,137,69,30,14277
96,M-NEC,MNEC0096,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Meadow soils,silty clay loam,48.6,27.1,139,5.8,137,69,30,11306
97,M-NEC,MNEC0097,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Meadow soils,silty clay loam,45.2,21.3,118,6.1,137,69,30,10788
98,M-NEC,MNEC0098,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Albic soils,silty clay loam,43,11.4,100,5.7,137,69,30,6920
99,M-NEC,MNEC0099,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Meadow soils,silty clay loam,48.3,26.1,141,5.9,137,69,30,10545
100,M-NEC,MNEC0100,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Meadow soils,silty clay loam,40,20.5,118,5.8,137,69,30,9501
101,M-NEC,MNEC0101,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Albic soils,silty clay loam,45,18.6,140,6.1,137,69,30,11130
102,M-NEC,MNEC0102,2010,MNEC01,WS0019,21.22 ,26.79 ,15.91 ,2631,1396.8,295.1,988.6,2216.6,Albic soils,silty clay loam,51.8,34.9,229,6.4,137,69,30,11040
103,M-NEC,MNEC0103,2012,MNEC01,WS0015,20.30 ,25.39 ,15.58 ,2882.3,1462.3,410.7,1195.3,2616.49,Black soils,loam,58.6,41.5,378,5.8,141,97,33,9870
104,M-NEC,MNEC0104,2012,MNEC01,WS0015,20.30 ,25.39 ,15.58 ,2882.3,1462.3,410.7,1195.3,2616.49,Black soils,loam,46.1,32.3,191,6,141,97,33,9795
105,M-NEC,MNEC0105,2012,MNEC01,WS0015,20.50 ,25.49 ,15.98 ,2726.7,1396.7,436.7,1077.8,2375.24,Black soils,loam,36.3,10.5,262,5.8,141,97,33,10335
106,M-NEC,MNEC0106,2012,MNEC01,WS0015,20.50 ,25.49 ,15.98 ,2726.7,1396.7,436.7,1077.8,2375.24,Black soils,loam,25.9,15.7,313,5.7,141,97,33,10140
107,M-NEC,MNEC0107,2012,MNEC01,WS0015,20.50 ,25.49 ,15.98 ,2726.7,1396.7,436.7,1077.8,2375.24,Black soils,loam,64.4,34.6,399,5.6,141,97,33,9675
108,M-NEC,MNEC0108,2012,MNEC01,WS0015,20.50 ,25.49 ,15.98 ,2726.7,1396.7,436.7,1077.8,2375.24,Black soils,loam,40.8,35.9,307,6.1,141,97,33,9555
109,M-NEC,MNEC0109,2006,MNEC01,WS0016,17.57 ,23.09 ,12.20 ,2763,1302.8,333.5,1191.538,2510.4,Black soils,silty clay loam,51,18.3,121,7.1,74,47,26,9527
110,M-NEC,MNEC0110,2007,MNEC01,WS0016,18.63 ,24.06 ,13.32 ,2831.1,1372.2,366.2,1265.2,2656.79,Albic soils,clay loam,38,20.8,170,6.4,74,69,26,8291
111,M-NEC,MNEC0111,2007,MNEC01,WS0016,17.45 ,22.76 ,12.22 ,2861.5,1365.3,367.7,1332.7,2739.8,Black soils,silty clay loam,55,13.5,135,6.8,74,69,26,8858
112,M-NEC,MNEC0112,2008,MNEC01,WS0016,17.83 ,23.02 ,12.70 ,2978.1,1344.4,295.4,1283.9,2774.49,Albic soils,clay loam,42.6,21.4,205,6.2,74,69,26,10512
113,M-NEC,MNEC0113,2012,MNEC01,WS0016,21.35 ,26.48 ,16.35 ,2455.6,1305.6,166.6,861.9,2021.5,Albic soils,silty clay loam,44,25.8,217,6.3,74,69,26,8139
114,M-NEC,MNEC0114,2012,MNEC01,WS0016,21.04 ,26.14 ,16.09 ,2588.4,1358.4,238.9,896.2,2102.5,Albic soils,clay loam,49,26.6,246,7.6,74,69,26,8588
115,M-NEC,MNEC0115,2006,MNEC01,WS0016,17.57 ,23.09 ,12.20 ,2763,1302.8,333.5,1191.538,2510.4,Black soils,silty clay loam,51,18.3,121,7.1,74,47,26,9527
116,M-NEC,MNEC0116,2007,MNEC01,WS0016,18.63 ,24.06 ,13.32 ,2831.1,1372.2,366.2,1265.2,2656.79,Albic soils,clay loam,38,20.8,170,6.4,74,69,26,8291
117,M-NEC,MNEC0117,2007,MNEC01,WS0016,17.45 ,22.76 ,12.22 ,2861.5,1365.3,367.7,1332.7,2739.8,Black soils,silty clay loam,55,13.5,135,6.8,74,69,26,8858
118,M-NEC,MNEC0118,2008,MNEC01,WS0016,17.83 ,23.02 ,12.70 ,2978.1,1344.4,295.4,1283.9,2774.49,Albic soils,clay loam,42.6,21.4,205,6.2,74,69,26,10512
119,M-NEC,MNEC0119,2008,MNEC01,WS0016,16.50 ,21.60 ,11.52 ,2858.8,1307.8,285.7,1282,2649.8,Albic soils,clay loam,41,16.9,201,5.9,74,47,26,10361
120,M-NEC,MNEC0120,2006,MNEC01,WS0016,17.18 ,22.76 ,11.71 ,3009.9,1392,347.8,1344.538,2834.43,Black soils,clay loam,51,17.4,165,6.5,74,47,26,9389
121,M-NEC,MNEC0121,2006,MNEC01,WS0016,19.10 ,24.61 ,13.71 ,2884.8,1374.8,324.1,1176.238,2615.6,Albic soils,clay,39,19,210,7.2,74,47,26,11621
122,M-NEC,MNEC0122,2007,MNEC01,WS0016,19.68 ,25.07 ,14.44 ,2736.1,1349.6,291.4,1177.3,2501.51,Black soils,clay loam,48,9.2,204,6.4,74,69,26,9342
123,M-NEC,MNEC0123,2007,MNEC01,WS0016,18.64 ,24.05 ,13.35 ,2795.4,1356.5,366.2,1240.2,2605.77,Black soils,clay loam,42,12.6,175,7,74,69,26,9803
124,M-NEC,MNEC0124,2007,MNEC01,WS0016,18.24 ,23.60 ,12.99 ,2827.3,1358.8,366.7,1279.7,2657.2,Black soils,clay loam,38,17.8,178,7.1,74,69,26,9159
125,M-NEC,MNEC0125,2008,MNEC01,WS0016,16.75 ,21.87 ,11.75 ,2858.8,1307.8,285.7,1264.8,2631.56,Meadow soils,clay loam,42.6,25.4,224,6.8,74,69,26,8301
126,M-NEC,MNEC0126,2008,MNEC01,WS0016,16.79 ,21.90 ,11.81 ,2830.8,1299.8,285.7,1242.7,2584.72,Black soils,clay,59.1,28.6,147,6.2,74,69,26,9272
127,M-NEC,MNEC0127,2008,MNEC01,WS0016,16.59 ,21.69 ,11.62 ,2869.9,1308.9,285.7,1277.4,2653.71,Meadow soils,clay,55.1,26.5,245,5.6,74,69,26,13395
128,M-NEC,MNEC0128,2010,MNEC01,WS0016,21.84 ,26.64 ,17.05 ,2576.6,1398.4,382.9,926.641,2144.91,Meadow soils,clay,35,41.1,342,7.6,74,69,26,11262
129,M-NEC,MNEC0129,2010,MNEC01,WS0016,22.25 ,28.12 ,16.47 ,2781.1,1531.7,324,1182.1,2464.88,Black soils,clay,52,29,350,7.5,74,69,26,13347
130,M-NEC,MNEC0130,2010,MNEC01,WS0016,22.36 ,27.20 ,17.50 ,2369.8,1309.8,346.2,858.841,1943.84,Meadow soils,clay,45,8.2,211,7.8,74,69,26,9830
131,M-NEC,MNEC0131,2010,MNEC01,WS0016,22.41 ,27.36 ,17.51 ,2398.4,1328.4,346.2,868.441,1945.37,Meadow soils,clay,45,50,185,7.2,74,69,26,10214
132,M-NEC,MNEC0132,2011,MNEC01,WS0016,20.66 ,25.77 ,15.75 ,2458.7,1268.7,288.5,945.5,2149.07,Black soils,clay,43.2,17.4,165,6.5,74,69,26,9000
133,M-NEC,MNEC0133,2011,MNEC01,WS0016,19.49 ,24.71 ,14.43 ,2709.4,1328.9,295.3,1105.3,2454.36,Meadow soils,clay,57.8,13.2,308,7.2,74,69,26,10106
