crops,indicator,group,value
North maize,Tmax,Climatic variables,10.1075737
North maize,RAD,Climatic variables,9.2911362
North maize,GDD,Climatic variables,8.6735554
North maize,Olsen-P,Soil variables,8.4691388
North maize,Avail-K,Soil variables,8.1942122
North maize,SOM,Soil variables,7.7259674
North maize,N rate,Management variables,6.453781
North maize,pH,Soil variables,5.445398
North maize,Soil texture,Soil variables,3.9928686
North maize,K rate,Management variables,3.8814324
North maize,Soil type,Soil variables,3.4429822
North maize,P rate,Management variables,1.947578
North maize,Cultivar,Management variables,0.3039251
South maize,Soil type,Soil variables,9.744792
South maize,PRE,Climatic variables,9.543341
South maize,Avail-K,Soil variables,8.613905
South maize,Tmin,Climatic variables,8.173778
South maize,N rate,Management variables,7.96411
South maize,K rate,Management variables,7.89906
South maize,RAD,Climatic variables,7.792895
South maize,Tmax,Climatic variables,7.788582
South maize,SOM,Soil variables,7.51798
South maize,Olsen-P,Soil variables,6.896939
South maize,GDD,Climatic variables,6.553194
South maize,pH,Soil variables,6.332011
South maize,P rate,Management variables,4.132837
South maize,Cultivar,Management variables,1.046576
Single rice,N rate,Management variables,11.7545578
Single rice,Soil texture,Soil variables,9.6900547
Single rice,RAD,Climatic variables,9.4191067
Single rice,Tmax,Climatic variables,8.6135913
Single rice,PRE,Climatic variables,8.4198097
Single rice,Avail-K,Soil variables,7.7935825
Single rice,Tmin,Climatic variables,7.6236452
Single rice,GDD,Climatic variables,7.0656979
Single rice,Olsen-P,Soil variables,6.461419
Single rice,K rate,Management variables,5.6787466
Single rice,pH,Soil variables,5.412681
Single rice,SOM,Soil variables,5.0506151
Single rice,P rate,Management variables,4.463929
Single rice,Soil type,Soil variables,1.798046
Single rice,Cultivar,Management variables,0.7545173
Early rice,Tmin,Climatic variables,12.497764
Early rice,GDD,Climatic variables,11.829294
Early rice,SOM,Soil variables,10.425939
Early rice,PRE,Climatic variables,8.788689
Early rice,Tmax,Climatic variables,8.053605
Early rice,Olsen-P,Soil variables,7.955727
Early rice,Avail-K,Soil variables,7.274006
Early rice,RAD,Climatic variables,6.920182
Early rice,pH,Soil variables,6.60328
Early rice,K rate,Management variables,6.534172
Early rice,N rate,Management variables,5.972185
Early rice,P rate,Management variables,5.932875
Early rice,Cultivar,Management variables,1.212283
Late rice,RAD,Climatic variables,12.280232
Late rice,Tmin,Climatic variables,9.778895
Late rice,PRE,Climatic variables,9.262651
Late rice,Avail-K,Soil variables,8.109248
Late rice,Tmax,Climatic variables,7.875038
Late rice,N rate,Management variables,7.811232
Late rice,SOM,Soil variables,7.327206
Late rice,Soil texture,Soil variables,7.216466
Late rice,GDD,Climatic variables,6.702566
Late rice,Olsen-P,Soil variables,6.536873
Late rice,pH,Soil variables,6.205193
Late rice,P rate,Management variables,5.061142
Late rice,K rate,Management variables,4.392791
Late rice,Cultivar,Management variables,1.440468
